Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
1170000,1.4924564,10.0,-0.5595424244837726,206.9607843137255,-0.02048683,-0.5680128737137868,0.0043369276,0.07066718,0.00026505574
1180000,1.4307448,10.0,-0.7107560303312067,230.82926829268294,-0.026224386,-0.7107561579564723,0.0033418783,0.067465544,0.00026473915
1190000,1.4377062,10.0,-0.45384660582058134,206.82,-0.022779552,-0.4736463093027777,0.0042898674,0.06738703,0.0002644554
1200000,1.4520963,10.0,-0.43396726180799305,200.0,-0.011073805,-0.4156923551972096,0.007166356,0.062682524,0.00026417203
1210000,1.348696,10.0,-0.18647994311992078,185.0,-0.0018379404,-0.18648004591464995,0.007933987,0.065829225,0.00026385495
1220000,1.3384513,10.0,-0.3578993135070393,191.73584905660377,-0.011916012,-0.35789942179086076,0.0061523565,0.0669516,0.00026353734
1230000,1.3438932,10.0,-0.26099994470779264,184.03703703703704,-0.007451945,-0.24705664223095156,0.007155617,0.06975249,0.0002632538
1240000,1.3459595,10.0,-0.08216661274283459,179.67857142857142,-0.0012189181,-0.10122028525386538,0.0098138545,0.073026076,0.0002629704
1250000,1.3376193,10.0,-0.34251917347473165,194.65384615384616,-0.0056677354,-0.3347925037707923,0.0073279226,0.069523394,0.00026265343
1260000,1.2692304,10.0,0.010239815960327784,166.9298245614035,0.0069091334,0.008154720067977905,0.009834842,0.065517485,0.00026233328
1270000,1.2907227,10.0,-0.09444247626554991,173.0344827586207,0.006581817,-0.10285636474346292,0.0098651545,0.06509461,0.00026204536
1280000,1.2968096,10.0,-0.1758822963536516,189.41176470588235,0.004225041,-0.14426801777353473,0.009577353,0.07010547,0.0002617618
1290000,1.3273717,10.0,-0.15361899347044528,179.80357142857142,0.0025868905,-0.15357147849031857,0.008361785,0.07098003,0.0002614454
1300000,1.2218188,10.0,-0.005322865337802796,163.890625,0.009831206,-0.02966149616986513,0.011446665,0.07188932,0.00026112696
1310000,1.1821352,10.0,0.18749157116764179,146.64406779661016,0.029136544,0.19366107136011124,0.0127798645,0.06841969,0.0002608445
1320000,1.0849273,10.0,-0.13270109431047378,178.24137931034483,0.00246017,-0.1175322083004734,0.009658465,0.07544948,0.0002605542
1330000,1.0394199,10.0,-0.052259834629278315,172.57627118644066,0.00041925316,-0.06801115622123083,0.010195819,0.0644085,0.0002602352
1340000,1.1264876,10.0,0.0060575246160593016,160.8793103448276,0.014317005,0.006057437637756611,0.010629729,0.060160894,0.00025994645
1350000,1.2391495,10.0,0.13128507608021406,154.18840579710144,0.009844306,0.1478823160423952,0.012004576,0.0704654,0.00025965966
1360000,1.1460719,10.0,-0.04191520445490793,165.8135593220339,0.015700616,-0.041892691689022515,0.01074641,0.06820704,0.0002593418
1370000,1.1900809,10.0,-0.24717681675826256,187.87755102040816,-0.008415644,-0.26220672607421874,0.008287489,0.068721645,0.00025905707
1380000,1.1597841,10.0,-0.09244618505885403,170.80645161290323,0.0027418195,-0.09244627769916289,0.009584744,0.069143735,0.0002587672
1390000,1.1630958,10.0,-0.009650741555979328,159.66666666666666,0.0099981865,-0.009650824088898917,0.010518483,0.06722439,0.00025845182
1400000,1.1477052,10.0,-0.010169352450575984,161.0,0.012103055,-0.016188927491505942,0.010089188,0.07347836,0.00025813392
1410000,1.1857289,10.0,-0.0015110598489021263,165.53333333333333,0.019037109,0.004267716994051074,0.011054376,0.0665735,0.00025784882
1420000,1.1160015,10.0,0.11224343348294497,153.0793650793651,0.015511247,0.11224335290136792,0.012057881,0.063414104,0.00025756645
1430000,1.0914141,10.0,-0.017597648375346487,166.77586206896552,0.009544052,-0.0276667104478468,0.010885917,0.065989785,0.0002572512
1440000,1.2283486,10.0,-0.13579756578214333,184.19642857142858,0.0058155716,-0.13675004935690335,0.009339759,0.06451527,0.0002569367
1450000,1.3209949,10.0,-0.07367216877173632,179.4,0.010074605,-0.04688893407583237,0.009649996,0.06537093,0.00025665326
1460000,1.3249892,10.0,0.09264854158020833,170.70909090909092,0.021120321,0.07318448860730443,0.011851161,0.065655805,0.0002563686
1470000,1.2034557,10.0,0.02521116102968032,167.26666666666668,0.015175936,0.04254232978416701,0.011034599,0.07051873,0.0002560526
1480000,1.0755982,10.0,0.2322203842962508,156.57627118644066,0.031554665,0.20362708174576194,0.0122793615,0.06405491,0.0002557374
1490000,1.0194741,10.0,0.13660757936867735,161.90322580645162,0.017919231,0.14757523469386563,0.012919779,0.07103669,0.00025544956
1500000,0.9972615,10.0,0.1804853367160403,141.02941176470588,0.02317346,0.17800962838573733,0.012755873,0.06729509,0.00025516326
1510000,1.0202467,10.0,0.11855887245003353,152.80882352941177,0.02563628,0.11855877804405549,0.011126498,0.06766287,0.0002548461
1520000,0.99628514,10.0,0.1908251856697998,151.70491803278688,0.02460409,0.1908251027591893,0.01226755,0.0715615,0.0002545323
1530000,1.014181,10.0,0.15176475500715347,151.77941176470588,0.021303657,0.15068155171266243,0.012571296,0.06782056,0.00025425243
1540000,1.0883863,10.0,0.3067806359952245,134.0,0.042823903,0.3010928083824206,0.013839981,0.0674694,0.00025397053
1550000,1.0713444,10.0,0.25038978869023804,143.76923076923077,0.028396359,0.2761384285413302,0.012984921,0.07189652,0.00025365618
1560000,1.1257123,10.0,0.20703200832940638,138.67123287671234,0.036347426,0.19072068422227292,0.012835202,0.06513872,0.00025334052
1570000,1.0386937,10.0,0.19278792538821246,147.34848484848484,0.027904889,0.1861486838414119,0.013558649,0.07134126,0.00025305606
1580000,0.98327786,10.0,0.16310058215204332,156.0793650793651,0.02480788,0.18888356240968857,0.01190168,0.06679466,0.00025277265
1590000,0.97691226,10.0,0.18824619944923773,151.46153846153845,0.025702197,0.1702423903978232,0.0118754925,0.07343455,0.00025245786
1600000,1.0506886,10.0,0.14543197483060435,148.8450704225352,0.04069719,0.14543189297259693,0.012320583,0.07054747,0.00025214156
1610000,1.1205664,10.0,0.20542861951795954,145.71428571428572,0.023832675,0.2054285364491599,0.011440176,0.06877903,0.0002518531
1620000,1.1386739,10.0,0.24997689566225745,140.98611111111111,0.034609716,0.24997681544886696,0.014072238,0.0682265,0.00025156845
