Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
60000,1.2617068,0.0,0.5330084,3.3892088,0.30949515,0.09705724,0.00029835035,0.9311867,0.8899192,-0.3903868522777754,180.92857142857142,-0.41511520309881733,2.1748481298034843
60000,1.2617068,0.0,0.5330084,3.3892088,0.30949515,0.09705724,0.00029835035,0.9311867,0.8899192,-0.3903868522777754,180.92857142857142,-0.41511520309881733,2.1748481298034843
60000,1.2617068,0.0,0.5330084,3.3892088,0.30949515,0.09705724,0.00029835035,0.9311867,0.8899192,-0.3903868522777754,180.92857142857142,-0.41511520309881733,2.1748481298034843
70000,1.1891084,0.0,0.41678002,2.7908394,0.2133388,0.09433689,0.00029806848,0.62493354,0.67509305,0.42215406923964055,77.02272727272727,0.42627066441048356,0.5877863190704047
70000,1.1891084,0.0,0.41678002,2.7908394,0.2133388,0.09433689,0.00029806848,0.62493354,0.67509305,0.42215406923964055,77.02272727272727,0.42627066441048356,0.5877863190704047
70000,1.1891084,0.0,0.41678002,2.7908394,0.2133388,0.09433689,0.00029806848,0.62493354,0.67509305,0.42215406923964055,77.02272727272727,0.42627066441048356,0.5877863190704047
80000,1.1608491,1.0,0.25738993,2.5948217,1.4372385,0.10280152,0.0002977738,0.87232906,0.88872373,0.4086092295895877,77.63793103448276,0.4460058974481262,2.5183380582427555
80000,1.1608491,1.0,0.25738993,2.5948217,1.4372385,0.10280152,0.0002977738,0.87232906,0.88872373,0.4086092295895877,77.63793103448276,0.4460058974481262,2.5183380582427555
80000,1.1608491,1.0,0.25738993,2.5948217,1.4372385,0.10280152,0.0002977738,0.87232906,0.88872373,0.4086092295895877,77.63793103448276,0.4460058974481262,2.5183380582427555
90000,1.0341442,1.0,-0.35918593,2.2227674,0.0813274,0.09908174,0.00029746557,0.46703205,0.7802492,-0.8664805529325075,238.04651162790697,-0.8724148935741849,1.267617682615916
90000,1.0341442,1.0,-0.35918593,2.2227674,0.0813274,0.09908174,0.00029746557,0.46703205,0.7802492,-0.8664805529325075,238.04651162790697,-0.8724148935741849,1.267617682615916
90000,1.0341442,1.0,-0.35918593,2.2227674,0.0813274,0.09908174,0.00029746557,0.46703205,0.7802492,-0.8664805529325075,238.04651162790697,-0.8724148935741849,1.267617682615916
100000,0.9431379,1.0,-0.28928223,1.5907238,0.03275906,0.09882633,0.00029714432,0.3641075,0.6354952,-0.7539416007348336,230.55,-0.7599431596151213,1.002543369535266
100000,0.9431379,1.0,-0.28928223,1.5907238,0.03275906,0.09882633,0.00029714432,0.3641075,0.6354952,-0.7539416007348336,230.55,-0.7599431596151213,1.002543369535266
100000,0.9431379,1.0,-0.28928223,1.5907238,0.03275906,0.09882633,0.00029714432,0.3641075,0.6354952,-0.7539416007348336,230.55,-0.7599431596151213,1.002543369535266
110000,0.9011617,1.0,-0.27480385,1.0383089,0.021381972,0.10071045,0.00029682886,0.32136428,0.48737,-0.5664860507968115,212.91666666666666,-0.593468150559892,0.7971948825932563
110000,0.9011617,1.0,-0.27480385,1.0383089,0.021381972,0.10071045,0.00029682886,0.32136428,0.48737,-0.5664860507968115,212.91666666666666,-0.593468150559892,0.7971948825932563
110000,0.9011617,1.0,-0.27480385,1.0383089,0.021381972,0.10071045,0.00029682886,0.32136428,0.48737,-0.5664860507968115,212.91666666666666,-0.593468150559892,0.7971948825932563
120000,1.0177151,1.0,-0.20183133,0.6460759,0.022912495,0.10318318,0.00029654568,0.29670766,0.50629115,-0.553579650586471,212.8913043478261,-0.5408841293791066,0.7143715266138315
